UNITID,Year,STATE,INSTNM,Program Area,PROGRAM,EPPP #,EPPP_RATE,Content Area,%_Correct,APA_Accredited_Program,Program Area - Copy,PCSAS_Accredited,CUDCP_Accredited
,2016,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,BIOLOGICAL_BOB,74.50%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,COGNITIVE_AFFECTIVE_BOB,84.83%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,SOCIAL/CULTURAL_BOB,80.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,GROWTH/LIFSPAN_DEVL,77.17%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,ASSESSMENT/DIAGNOSIS,70.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,TREATMENT/INTERVENTION,78.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,RESEARCH_METHODS/STATISTICS,77.50%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Waterloo,Clinical Ph.D.,Clinical Ph.D.,6,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,81.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,13,100.00%,BIOLOGICAL_BOB,83.85%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,13,100.00%,COGNITIVE_AFFECTIVE_BOB,85.62%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,13,100.00%,SOCIAL/CULTURAL_BOB,83.46%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,13,100.00%,GROWTH/LIFSPAN_DEVL,84.23%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,13,100.00%,ASSESSMENT/DIAGNOSIS,76.62%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,13,100.00%,TREATMENT/INTERVENTION,84.54%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,13,100.00%,RESEARCH_METHODS/STATISTICS,78.69%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,13,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,82.08%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,BIOLOGICAL_BOB,79.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,COGNITIVE_AFFECTIVE_BOB,80.00%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,SOCIAL/CULTURAL_BOB,74.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,GROWTH/LIFSPAN_DEVL,73.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,ASSESSMENT/DIAGNOSIS,81.60%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,TREATMENT/INTERVENTION,79.80%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,RESEARCH_METHODS/STATISTICS,77.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2016,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,5,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,77.20%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,8,100.00%,BIOLOGICAL_BOB,81.38%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,8,100.00%,COGNITIVE_AFFECTIVE_BOB,88.13%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,8,100.00%,SOCIAL/CULTURAL_BOB,86.25%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,8,100.00%,GROWTH/LIFSPAN_DEVL,88.63%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,8,100.00%,ASSESSMENT/DIAGNOSIS,86.38%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,8,100.00%,TREATMENT/INTERVENTION,86.63%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,8,100.00%,RESEARCH_METHODS/STATISTICS,86.75%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Western Ontario,Clinical Ph.D.,Clinical Ph.D.,8,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,84.13%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,BIOLOGICAL_BOB,81.17%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,COGNITIVE_AFFECTIVE_BOB,87.22%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,SOCIAL/CULTURAL_BOB,84.33%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,GROWTH/LIFSPAN_DEVL,82.50%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,ASSESSMENT/DIAGNOSIS,79.89%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,TREATMENT/INTERVENTION,82.61%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,RESEARCH_METHODS/STATISTICS,79.06%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,University of Windsor,Clinical Ph.D.,Clinical Ph.D.,18,100.00%,ETHICAL/LEGAL/PROFESSIONAL_ISS,83.28%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,10,100.00%,BIOLOGICAL_BOB,79.90%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,10,100.00%,COGNITIVE_AFFECTIVE_BOB,77.90%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,10,100.00%,SOCIAL/CULTURAL_BOB,78.10%,Ukn,Clinical Ph.D.,Ukn,Ukn
,2017,ON,York University-Toronto,Clinical Ph.D.,Clinical Ph.D.,10,100.00%,GROWTH/LIFSPAN_DEVL,73.60%,Ukn,Clinical Ph.D.,Ukn,Ukn
